VEHICLE TYPES,VEHICLE TYPES
shuttle bu,1
sierra,1
siting mop,1
skatboard,1
skate boar,1
skid-,1
skidsteerl,1
slingshoot,1
slingshot,1
small,1
small bus,1
smart,1
smart car,1
smyellscho,1
snow,1
snow plowe,1
sonata,1
spark150 s,1
spec-,1
speci,1
spinter va,1
short scho,1
self-,1
sprinter w,1
segway,1
s/sp,1
safet,1
sanitaion,1
sanitaton,1
sanmen cou,1
santa,1
santi,1
savana van,1
sc,1
scava,1
school van,1
sciss,1
scooter (g,1
scooter bi,1
scooter no,1
scooter/mo,1
scotter,1
sea,1
seagrave t,1
sedona,1
segwa,1
spr,1
ss,1
traffic to,1
telehandle,1
tir,1
tkp,1
tktr,1
tl trailer,1
tlr,1
toolcat,1
toolcat fo,1
tour bus,1
tow trick,1
tow trk,1
tow-truck,1
tow4,1
towe truck,1
tower,1
towin,1
towtr,1
towtruck,1
tr-trailer,1
tra/r,1
track exca,1
tracktor t,1
tilt tande,1
te,1
stake truc,1
tcr,1
standing s,1
station wa,1
straight t,1
street,1
subn - amb,1
subn tn,1
subn whi,1
subn/ambul,1
subr,1
oml/,1
subur,1
sw,1
sw/van,1
sweep,1
swingloade,1
t350hd,1
t630 forkl,1
t650,1
t880,1
tank wh,1
tcn,1
oml/omnibu,1
limou,1
oil tanker,1
delivery w,1
crane truc,1
crf carria,1
cross,1
crwzk,1
d,1
d/v wb,1
d1,1
d2,1
dark color,1
dart bike,1
del,1
del truck,1
delv br,1
dolly,1
delv wh,1
delvi,1
delviery,1
dent and s,1
depar,1
dept van #,1
derelict v,1
detac,1
dilevery t,1
dirt-,1
distributo,1
dl,1
crane boom,1
courier va,1
conv,1
contructio,1
chev,1
chevy carg,1
chevy expr,1
chevy van,1
churc,1
citibike,1
city mta b,1
city owned,1
citywide,1
cmixer,1
collection,1
com delive,1
com trans,1
combinatio,1
comer,1
comm food,1
comm truck,1
comm.,1
commer veh,1
commericia,1
commu,1
concrete m,1
conedison,1
const equi,1
conta,1
dodge,1
dot,1
oil t,1
ems fdny b,1
ele. unicy,1
elec. unic,1
elecr,1
electrict,1
electricun,1
electronic,1
embulance,1
emergancy,1
emergency,1
emi- trail,1
ems a,1
ems b,1
ems/van,1
dot equipm,1
emt,1
emt truck,1
enclo,1
engin,1
engine,1
engine sp0,1
enterprise,1
escavater,1
escootersi,1
escovator,1
esu rescue,1
excabator,1
ele motorc,1
e450,1
e250,1
e-sooter,1
dot safety,1
dot t,1
dot tow tr,1
dp,1
drill rig,1
dsny,1
dsny sanit,1
dsny sweep,1
dsny truck,1
dual,1
dump gr,1
dumptruck,1
e,1
e - b,1
e amb,1
e bike uni,1
e com,1
e motorcyc,1
e revel sc,1
e skate bo,1
e wheelcha,1
e- motor b,1
e- scooter,1
e-scoter,1
e-ska,1
cherv,1
chassis &,1
charter bu,1
ambalance,1
787,1
994,1
997,1
a bulance,1
"a,n",1
abmu,1
access-a-r,1
aerial lif,1
almbulance,1
alumi,1
amazon spr,1
amazon van,1
ambiance,1
caterpilla,1
ambluance,1
ambukance,1
ambulamce,1
ambulance`,1
ambulanve,1
ambulcance,1
amubulance,1
app,1
appor,1
apurp,1
arcimoto,1
armored tr,1
7532433,1
72000,1
7,1
600aj,1
00000,1
100th truc,1
11 pa,1
12 pass va,1
12 passage,1
17,1
18 weeler,1
18 wheel,1
197209,1
1c,1
2 hor,1
2 wheel sc,1
2015,1
2dcp,1
2ydswheell,1
3 whe,1
3 wheel sc,1
325flcr,1
35 ft,1
38ab-,1
4 wheeler,1
4ds,1
50 cc moto,1
50cc mini,1
52? t,1
art m,1
aspha,1
asphalt ro,1
btm,1
buldozer,1
bump,1
bus (omnib,1
busv,1
c,1
c7c,1
cab,1
cadet,1
campe,1
camper,1
camper van,1
car c,1
caravan,1
cargo trai,1
cargo truc,1
carriage,1
carrier,1
cat caterp,1
cat escaba,1
cat forkli,1
cat p,1
cat payloa,1
cat.,1
cat32,1
catapillar,1
budget tru,1
bs,1
astro,1
brown,1
attac,1
autotrlr t,1
b55 excava,1
back ho,1
backhoe re,1
barri,1
basic psd,1
bay crane,1
bed,1
beyond sco,1
bicycle,1
black mope,1
blu bus,1
blue chevy,1
bmw,1
bmw moped,1
bob c,1
bob cat,1
bobcat 216,1
bobcat for,1
bobcat sno,1
boom 60ft,1
boom crane,1
boom lift/,1
boxtr,1
expre,1
ez go,1
f,1
manual sco,1
locomotive,1
lsv,1
m/c,1
m2,1
m21,1
mac,1
mac t,1
mail carri,1
maintenanc,1
man b,1
man l,1
manpower s,1
marked rmp,1
ip,1
mcr,1
mercedes,1
message si,1
metrotech,1
military,1
military v,1
mini bus,1
mini schoo,1
mini vahn,1
mo ped,1
mo-pe,1
mobile,1
lma,1
llv mail t,1
livery omn,1
lit direct,1
j1,1
jj150t-4a,1
jlg l,1
jlg ultra,1
john,1
johndeere,1
kenwo,1
kick scoot,1
komatsu lo,1
kubot,1
ladde,1
ladder,1
ladder co,1
lateral tr,1
laund,1
lawn mower,1
lcom,1
lcomm,1
leased amb,1
left the s,1
liabitiy,1
lim,1
limit use,1
.,1
